TITLE,COMPANY,LOCATION,Link
[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=f258bcb2c6f24dc9&fccid=aea6a13a3459fdb2&vjs=3
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/rc/clk?jk=aac8e9355cb855ac&fccid=617d7f961cfcf54a&vjs=3
Customer Engineer,Microsoft,서울,https://kr.indeed.com/rc/clk?jk=7d4bc2a107c6669b&fccid=734cb5a01ee60f80&vjs=3
데이터 엔지니어 및 사이언티스트,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=d8a8869ab092f731&fccid=32b9af632cf3b9f9&vjs=3
[AI/Lab] AI 백엔드 엔지니어 (마케팅 분야),버즈니,서울,https://kr.indeed.com/rc/clk?jk=1d2b22a2bcd3256f&fccid=a72d6e5a17d52b40&vjs=3
[교보라이프플래닛생명] 서비스기획/개발부문 신입/경력,교보라이프플래닛생명보험,서울 영등포구,https://kr.indeed.com/rc/clk?jk=bf5c07ed37d6a417&fccid=51072b5481eec4d0&vjs=3
Security Engineer (모의해킹/취약점 점검),Toss,서울 강남구,https://kr.indeed.com/rc/clk?jk=241ae1e7499c461c&fccid=18c4935c8ec646d5&vjs=3
[AI R&D] ML 엔지니어 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=4f61daa017b07bae&fccid=a1e4e21b1f33cf40&vjs=3
자동차업무팀 자동차상품파트(신입) Associate 채용,AXA손해보험,서울 갈월동,https://kr.indeed.com/rc/clk?jk=6876f9db4384c69b&fccid=755fda02d03902e1&vjs=3
"네모파트너즈비에이 데이터 분석가 신입,경력",네모파트너즈비에이,서울 영등포구,https://kr.indeed.com/rc/clk?jk=3fbbb0a082dd1ff9&fccid=b389256e3a4fa634&vjs=3
카카오 분산 기술 플랫폼 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=85e44b7572a7c332&fccid=32b9af632cf3b9f9&vjs=3
큐니온 신입 및 경력직 연구원,큐니온,대전 유성구,https://kr.indeed.com/rc/clk?jk=9229c9c7499479a6&fccid=a5efdb3a847df72d&vjs=3
블록체인인터넷경제연구센터 위촉연구원,광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=3e80435be74cd28f&fccid=617504e506359426&vjs=3
[취업연계교육]전액무료 IT교육받고 취업하자,휴먼교육센터,청주 흥덕구,https://kr.indeed.com/rc/clk?jk=ce3e13c2bc8da256&fccid=47930bf87393d845&vjs=3
게임이상탐지 분석/개발,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=4ec305f59ce64060&fccid=aba87288e4cc3687&vjs=3
연구소 개발부문 연구원 직원 (회로설계/하드웨어설계/머신비전/이미지프로세싱),모든,경기도 광명,https://kr.indeed.com/rc/clk?jk=793d3bdf17f3593f&fccid=439b0412f66a75cd&vjs=3
Deep Learning R&D Engineer,Intel,서울,https://kr.indeed.com/rc/clk?jk=e4f1914b34f03ca2&fccid=f1374be6a45f4b8a&vjs=3
[AI Lab] AI 백엔드 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/rc/clk?jk=dbe3257e487e5814&fccid=a72d6e5a17d52b40&vjs=3
"[4년제 대졸자 취업연계과정] 융합 SW 바이오 분야, 전공무관, 취업율 92.7",한국폴리텍대학분당융합기술교육원,성남 분당구,https://kr.indeed.com/rc/clk?jk=24f7f205ae589c18&fccid=0e6cbd3a7d3c7896&vjs=3
IT 개발자(백엔드) 경력직,스포츠데이터에볼루션,경기도 파주,https://kr.indeed.com/rc/clk?jk=e15972f6e01cb7dc&fccid=bf31cda7cfd9684f&vjs=3
(주)신세계아이앤씨 AI/클라우드 부문 상시,신세계아이앤씨,서울 중구,https://kr.indeed.com/rc/clk?jk=01296857655fc85f&fccid=7009e9adee12ff99&vjs=3
추천 시스템 연구/개발,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=be6c1f03fa566f8e&fccid=32b9af632cf3b9f9&vjs=3
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/rc/clk?jk=649ccf047c868778&fccid=7c743c071619900d&vjs=3
머신러닝 개발,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=a1d687cd59776360&fccid=aba87288e4cc3687&vjs=3
DGIST 동반진단의료기술융합연구실 계약직 연구원 공개 초빙 공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/rc/clk?jk=cb32ed51c4e0c7ad&fccid=a0e87e3780944019&vjs=3
"MVP 개발 엔지니어(서버, 웹프론트) (정규직, 계약직, 프리랜서)",더테스터,대전 중구,https://kr.indeed.com/rc/clk?jk=1748baa27965fdbf&fccid=948325a69d70601e&vjs=3
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/rc/clk?jk=9040dba1c8db2a5d&fccid=3e2ea46f3238fe0e&vjs=3
Modem QA Contractor,聯發科技,경기도 성남,https://kr.indeed.com/rc/clk?jk=bd5ce1a809ec610a&fccid=d545b7e05f2306ac&vjs=3
Customer Operations Engineering Manager,Success Korea,대한민국,https://kr.indeed.com/rc/clk?jk=8a15326f80e07c08&fccid=d29ddc820620b02e&vjs=3
Application Engineer Consultant - HAV,Mentor Graphics (Korea) LLC,경기도 성남,https://kr.indeed.com/rc/clk?jk=f4750c486cc78516&fccid=3b89b9ec324f96c8&vjs=3
데이터 분석,아프리카TV,경기도 성남,https://kr.indeed.com/rc/clk?jk=7fdcd7a7457b1e93&fccid=bc48816053af06b3&vjs=3
